site,attraction_location,total_reviews,date_dataAccess,page_nbr,title,full_review,date,userName,device,userLocation
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",1,Great witness to ancient history ,Ethiopia is enriched country filled with history. Lalibela is no exception. The 2nd dynasty king of Lalibela built these 12 churches carved out of natural rocks during the 12th century. It took 24 years to complete the great project. These Churches are still being used....More,3 days ago,May F,via mobile ,Colorado
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",1,The monstrous protective roofs have completely destroyed the athmosphere,"Sometime after Lalibela was declared a World Heritage site UNESCO sponsored a series of absolutely ghastly steel and concrete structures to cover all of the temples (except St George) making them impossible to view, enjoy and photograph from the exterior. The structures are ostensibly to...More",1 week ago,andrasz,NA,"London, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",1,Stunning and atmospheric,You can only believe these when you see them. Don't try to see them all in one day if possible. Your ticket lasts five days so spread it out to get the most from them.,1 week ago,car0linen0rman,NA,"Sheffield, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",1,Marvelous ,"I went and saw these sites of spiritual depth, meticulous details in the architectural works. So come and see! It’s your turn❤️",2 weeks ago,Melka T,via mobile ,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",1,This is one of 12 amazing rock hewn churches,We think we are clever but the people who dug down into the rock to produce these wonderful churches were much more astute and could produce from granite churches of amazing designs.,2 weeks ago,Pippa354,NA,"Shaftesbury, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",1,"Very Impressive , A Must Do ","The complex of churches is very impressive in its own right, but mind blowing from the perspective of their age and their physical creation.
A good guide is essential - ask Molla at Eco Lalibela Trekking.
I am not religious but going early to see...More",2 weeks ago,DAVISFAMILY5,via mobile ,"Chepstow, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",1,Visited 7 of the 11 with Lalibela Eco Trekking,Incredible that these churches are in daily use for the hundreds of years since construction and the traditions continue with solemnity and grace.,2 weeks ago,Gary_Bing,NA,"Pretoria, South Africa"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",1,Unique,"The Rock churches are one of a kind, but I the price for foreigners is extremly high, 50 USD is a fortune in that country, and in my opinion it is excesive. They offer guides you have to pay apart from the ticket, and they...More",3 weeks ago,paskiala,NA,"Zaragoza, Spain"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",1,Real Utopia,"This is not only a place, this is human civilization, and this place is the beginning of human ultimate conspiracy. This place notifies that our fathers are more civilized than current generation; this place is the founding of blessing.",4 weeks ago,Israel M,NA,"Addis Ababa, Ethiopia"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",1,A special place to see,"Although I didn't visit this place during my previous trip to Ethiopia, this time it was on my schedule and I was not disappointed to see the rock-hewn churches. One day is sufficient to get a look at them all.",4 weeks ago,wlannoey,NA,"Ghent, Belgium"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",2,Churches are Amazing but be careful which guide you choose!,"We loved the churches at Lalibella, they were all we had hoped they would be but sadly our only bad experience of the whole three weeks in Ethiopia was our guide for the churches. We found everyone else in Ethiopia to be friendly, helpful and...More","November 12, 2017",980PaulV80,NA,"London, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",2,"Enrich spiritually, lose financially ","The main attraction of Lalibela is fantastic. The best part of it is that all the churches are still in use. Their are best to be explored with a local guide, even if you are on a tight budget. Visit early in the morning, around...More","November 12, 2017",J V,via mobile ,"Amsterdam, The Netherlands"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",2,Family trip to Lalibela,"Absolutely wonderful churches - everytime I wisit, I am really impressed by the living history of Lalibela.","November 4, 2017",Mette T,via mobile ,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",2,Impressive sight ,"There are 2 groups of churches, both walking distance from the town centre and the St George church on its own nearby. They are all really impressive and different from each other. I don't know if you can visit without a guide, but I highly...More","November 3, 2017",Suzanna C,via mobile ,"London, England, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",2,Amazing,Wonderful attraction and a must see if n Lalibela. make sure you wear tennis shoes as there is a lot of walking but well worth the steps.,"November 3, 2017",basfaw,NA,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",2,The one thing to see in Lalibela,"Lalibela, the town or village (depending on what you think) is named after a king and a priest. A devout Orthodox Christian, he spent more than twenty years building these monolithic rock-hewn churches, all eleven of them. Since their construction, Lalibela has become a religious...More","November 2, 2017",Vickypf2017,NA,"Washington DC, District of Columbia"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",2,8th wonder of the world,A must see for all tourists the churchs have been carved from the living rock 700 years ago and are still in use today,"October 31, 2017",baldyb0b,NA,"Edinburgh, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",2,"Superb, amazing",Worth crossing the country to see. Astonishing monolithic and semi monolithic churches. Just go and make sure you see everyone. And do go through the pathway to hell,"October 28, 2017",Neil R,via mobile ,"London, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",2,A hidden gem,This is beyond any fantasy! How could they even think of building a church under the ground? The churches are intact and in use today. There are between 40-50000 tourists a year. So hurry up before it attracts more people. The churches have been there...More,"October 23, 2017",Anne-Berit,via mobile ,"Fredrikstad, Norway"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",2,unreal,such a wonderful place to visit and see these wonders. i really liked the ancient feel of the place and visited a service on sunday morning. took so many photos,"October 22, 2017",Paul S,NA,"Greater London, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",3,A must visit attraction,"Truly mind blowing to think that these churches are carved out of the rock.
We saw 11 churches that day with our guide but of course the Church of St George is the most photogenic. They are split into two small groups but not far...More","October 10, 2017",BajanDreamer,NA,Barbados
