attraction_location,title,user_location,date_dataAccess,date_raw,year,month,day,lon_user_location,lat_user_location,City,Country
"Lalibela 1000, Ethiopia",Churches are Amazing but be careful which guide you choose!,"London, United Kingdom","December 22, 2017",2017-11-12,2017,11,12,-0.1277583,51.5073509,London,United Kingdom
"Lalibela 1000, Ethiopia","Enrich spiritually, lose financially","Amsterdam, The Netherlands","December 22, 2017",2017-11-12,2017,11,12,4.895167900000001,52.3702157,Amsterdam,Netherlands
"Lalibela 1000, Ethiopia",Impressive sight,"London, England, United Kingdom","December 22, 2017",2017-11-03,2017,11,3,-0.1277583,51.5073509,London,United Kingdom
"Lalibela 1000, Ethiopia",The one thing to see in Lalibela,"Washington DC, District of Columbia","December 22, 2017",2017-11-02,2017,11,2,-77.0368707,38.9071923,Washington,United States
"Lalibela 1000, Ethiopia",8th wonder of the world,"Edinburgh, United Kingdom","December 22, 2017",2017-10-31,2017,10,31,-3.188267,55.953252,Edinburgh,United Kingdom
"Lalibela 1000, Ethiopia","Superb, amazing","London, United Kingdom","December 22, 2017",2017-10-28,2017,10,28,-0.1277583,51.5073509,London,United Kingdom
"Lalibela 1000, Ethiopia",A hidden gem,"Fredrikstad, Norway","December 22, 2017",2017-10-23,2017,10,23,10.9347012,59.22053689999999,Fredrikstad,Norway
"Lalibela 1000, Ethiopia",unreal,"Greater London, United Kingdom","December 22, 2017",2017-10-22,2017,10,22,-0.0936496,51.4309209,London,United Kingdom
"Lalibela 1000, Ethiopia",A must visit attraction,Barbados,"December 22, 2017",2017-10-10,2017,10,10,-59.543198,13.193887,Coffee Gully,Barbados
"Lalibela 1000, Ethiopia",Lalibela,"Addis Ababa, Ethiopia","December 22, 2017",2017-10-07,2017,10,7,38.7577605,8.9806034,Addis Ababa,Ethiopia
"Lalibela 1000, Ethiopia",A bucket list item in your life,Cape Town,"December 22, 2017",2017-09-29,2017,9,29,18.4240553,-33.9248685,Cape Town,South Africa
"Lalibela 1000, Ethiopia",St Georges Church,Tamworth,"December 22, 2017",2017-09-20,2017,9,20,-1.691032,52.633584,Tamworth,United Kingdom
"Lalibela 1000, Ethiopia",A monument to man's creative spirit,Somerset West,"December 22, 2017",2017-09-08,2017,9,8,18.8432656,-34.0756899,Cape Town,South Africa
"Lalibela 1000, Ethiopia",Incredible,"Virginia Beach, Virginia","December 22, 2017",2017-08-30,2017,8,30,-75.97798499999999,36.8529263,Virginia Beach,United States
"Lalibela 1000, Ethiopia",Was expecting more,"Glasgow, United Kingdom","December 22, 2017",2017-08-28,2017,8,28,-4.251806,55.864237,Glasgow,United Kingdom
"Lalibela 1000, Ethiopia",Stunning!,"Richland, Washington","December 22, 2017",2017-08-25,2017,8,25,-119.2844621,46.2856907,Richland,United States
"Lalibela 1000, Ethiopia",You have to be there to believe it,"Boca Raton, Florida","December 22, 2017",2017-07-27,2017,7,27,-80.1289321,26.3683064,Boca Raton,United States
"Lalibela 1000, Ethiopia",Must see in Ethiopia,"Sydney, Australia","December 22, 2017",2017-07-11,2017,7,11,151.2092955,-33.8688197,Sydney,Australia
"Lalibela 1000, Ethiopia",Exciting place on Ethiopian Historic Route Tour,"New York City, New York","December 22, 2017",2017-06-19,2017,6,19,-74.0059728,40.7127753,New York,United States
"Lalibela 1000, Ethiopia",Impressive!,United States,"December 22, 2017",2017-06-15,2017,6,15,-95.712891,37.09024,Independence,United States
"Lalibela 1000, Ethiopia",Don't miss it,"Lyon, France","December 22, 2017",2017-06-04,2017,6,4,4.835659,45.764043,Lyon,France
"Lalibela 1000, Ethiopia",Very good trip to Lalibela,"Addis Ababa, Ethiopia","December 22, 2017",2017-05-23,2017,5,23,38.7577605,8.9806034,Addis Ababa,Ethiopia
"Lalibela 1000, Ethiopia",One of the most fascinating places in the world,"Portland, Oregon","December 22, 2017",2017-05-11,2017,5,11,-122.6764815,45.5230622,Portland,United States
"Lalibela 1000, Ethiopia",Amazing churches,"Brussels, Belgium","December 22, 2017",2017-05-02,2017,5,2,4.3517211,50.8503463,Brussel,Belgium
"Lalibela 1000, Ethiopia",Super,"Osterode am Harz, Germany","December 22, 2017",2017-05-01,2017,5,1,10.2580311,51.7293769,Osterode am Harz,Germany
"Lalibela 1000, Ethiopia",Magical to have visited at Easter,hong kong,"December 22, 2017",2017-04-30,2017,4,30,114.109497,22.396428,NA,Hong Kong
"Lalibela 1000, Ethiopia",More than I could have imagined!,"London, United Kingdom","December 22, 2017",2017-04-30,2017,4,30,-0.1277583,51.5073509,London,United Kingdom
"Lalibela 1000, Ethiopia",Incredible churches and great guide- Sefiw H/mariam,"Nairobi, Kenya","December 22, 2017",2017-04-26,2017,4,26,36.8219462,-1.2920659,Nairobi,Kenya
"Lalibela 1000, Ethiopia",Fascinating - especially at Easter,"Dar es Salaam, Tanzania","December 22, 2017",2017-04-22,2017,4,22,39.2083284,-6.792354,Dar es Salaam,Tanzania
"Lalibela 1000, Ethiopia",super,"Berlin, Germany","December 22, 2017",2017-04-18,2017,4,18,13.404954,52.52000659999999,Berlin,Germany
"Lalibela 1000, Ethiopia",This is a must see attraction!,"Kalmar, Sweden","December 22, 2017",2017-04-17,2017,4,17,16.3567791,56.6634447,Kalmar,Sweden
"Lalibela 1000, Ethiopia",Mind blowing engineering,Surrey,"December 22, 2017",2017-04-09,2017,4,9,-0.5599501,51.31475930000001,Woking,United Kingdom
"Lalibela 1000, Ethiopia",Hiking shoes and stick,uae,"December 22, 2017",2017-04-02,2017,4,2,53.847818,23.424076,NA,United Arab Emirates
"Lalibela 1000, Ethiopia",Worth the trip in gold!,Wisconsin,"December 22, 2017",2017-03-30,2017,3,30,-88.7878678,43.7844397,Brandon,United States
