user_location,lon_user_location,lat_user_location,City,Country
"London, United Kingdom",-0.1277583,51.5073509,London,United Kingdom
"Amsterdam, The Netherlands",4.895167900000001,52.3702157,Amsterdam,Netherlands
"London, England, United Kingdom",-0.1277583,51.5073509,London,United Kingdom
"Washington DC, District of Columbia",-77.0368707,38.9071923,Washington,United States
"Edinburgh, United Kingdom",-3.188267,55.953252,Edinburgh,United Kingdom
"Fredrikstad, Norway",10.9347012,59.22053689999999,Fredrikstad,Norway
"Greater London, United Kingdom",-0.0936496,51.4309209,London,United Kingdom
Barbados,-59.543198,13.193887,Coffee Gully,Barbados
"Addis Ababa, Ethiopia",38.7577605,8.9806034,Addis Ababa,Ethiopia
Cape Town,18.4240553,-33.9248685,Cape Town,South Africa
Tamworth,-1.691032,52.633584,Tamworth,United Kingdom
Somerset West,18.8432656,-34.0756899,Cape Town,South Africa
"Virginia Beach, Virginia",-75.97798499999999,36.8529263,Virginia Beach,United States
"Glasgow, United Kingdom",-4.251806,55.864237,Glasgow,United Kingdom
"Richland, Washington",-119.2844621,46.2856907,Richland,United States
"Boca Raton, Florida",-80.1289321,26.3683064,Boca Raton,United States
"Sydney, Australia",151.2092955,-33.8688197,Sydney,Australia
"New York City, New York",-74.0059728,40.7127753,New York,United States
United States,-95.712891,37.09024,Independence,United States
"Lyon, France",4.835659,45.764043,Lyon,France
"Portland, Oregon",-122.6764815,45.5230622,Portland,United States
"Brussels, Belgium",4.3517211,50.8503463,Brussel,Belgium
"Osterode am Harz, Germany",10.2580311,51.7293769,Osterode am Harz,Germany
hong kong,114.109497,22.396428,"NA",Hong Kong
"Nairobi, Kenya",36.8219462,-1.2920659,Nairobi,Kenya
"Dar es Salaam, Tanzania",39.2083284,-6.792354,Dar es Salaam,Tanzania
"Berlin, Germany",13.404954,52.52000659999999,Berlin,Germany
"Kalmar, Sweden",16.3567791,56.6634447,Kalmar,Sweden
Surrey,-0.5599501,51.31475930000001,Woking,United Kingdom
uae,53.847818,23.424076,"NA",United Arab Emirates
Wisconsin,-88.7878678,43.7844397,Brandon,United States
"Dubai, United Arab Emirates",55.2707828,25.2048493,Dubai,United Arab Emirates
"Tampa, Florida, United States",-82.4571776,27.950575,Tampa,United States
"Victoria, Canada",-123.3656444,48.4284207,Victoria,Canada
"Hertfordshire, United Kingdom",-0.2376744,51.80978229999999,Ayot Saint Peter,United Kingdom
"Rome, Italy",12.4963655,41.9027835,Roma,Italy
"Toronto, Canada",-79.3831843,43.653226,Toronto,Canada
"Limassol, Cyprus",33.0226174,34.7071301,Limassol,Cyprus
Noosa Heads,153.093,-26.398,Noosa Heads,Australia
"Ljubljana, Slovenia",14.5057515,46.0569465,Ljubljana,Slovenia
Warwickshire,-1.4675216,52.2671353,"NA",United Kingdom
"Swindon, United Kingdom",-1.7797176,51.55577390000001,Swindon,United Kingdom
Vancouver,-123.1207375,49.2827291,Vancouver,Canada
Alaska,-149.4936733,64.2008413,Healy,United States
"Elmhurst, Illinois",-87.9403418,41.8994744,Elmhurst,United States
England,-1.1743197,52.3555177,Kilsby,United Kingdom
cape town,18.4240553,-33.9248685,Cape Town,South Africa
