Country,count,lon_Country,lat_Country,popup_msg
Australia,36,133.775136,-25.274398,Australia (n = 36)
Austria,3,14.550072,47.516231,Austria (n = 3)
Bangladesh,1,90.356331,23.684994,Bangladesh (n = 1)
Barbados,1,-59.543198,13.193887,Barbados (n = 1)
Belgium,16,4.469936,50.503887,Belgium (n = 16)
Brazil,6,-51.92528,-14.235004,Brazil (n = 6)
Canada,47,-106.346771,56.130366,Canada (n = 47)
Chile,2,-71.542969,-35.675147,Chile (n = 2)
China,4,104.195397,35.86166,China (n = 4)
Côte d'Ivoire,2,-5.547079999999999,7.539988999999999,Côte d'Ivoire (n = 2)
Croatia,1,15.2000001,45.1,Croatia (n = 1)
Cyprus,1,33.429859,35.126413,Cyprus (n = 1)
Denmark,2,9.501785,56.26392,Denmark (n = 2)
Dominican Republic,1,-70.162651,18.735693,Dominican Republic (n = 1)
Ethiopia,62,40.489673,9.145000000000001,Ethiopia (n = 62)
Finland,5,25.7481511,61.92410999999999,Finland (n = 5)
France,10,2.213749,46.227638,France (n = 10)
Germany,30,10.451526,51.165691,Germany (n = 30)
Ghana,3,-1.023194,7.946527,Ghana (n = 3)
Greece,4,21.824312,39.074208,Greece (n = 4)
India,10,78.96288,20.593684,India (n = 10)
Ireland,15,-7.692053599999999,53.1423672,Ireland (n = 15)
Israel,11,34.851612,31.046051,Israel (n = 11)
Italy,7,12.56738,41.87194,Italy (n = 7)
Japan,3,138.252924,36.204824,Japan (n = 3)
Kenya,14,37.906193,-0.023559,Kenya (n = 14)
Lithuania,1,23.881275,55.169438,Lithuania (n = 1)
Luxembourg,2,6.129582999999999,49.815273,Luxembourg (n = 2)
Malawi,1,34.301525,-13.254308,Malawi (n = 1)
Malaysia,2,101.975766,4.210484,Malaysia (n = 2)
Malta,1,14.375416,35.937496,Malta (n = 1)
Mexico,2,-102.552784,23.634501,Mexico (n = 2)
Moldova,1,28.369885,47.411631,Moldova (n = 1)
Myanmar (Burma),2,95.955974,21.916221,Myanmar (Burma) (n = 2)
Nepal,1,84.12400799999999,28.394857,Nepal (n = 1)
Netherlands,15,5.291265999999999,52.132633,Netherlands (n = 15)
New Zealand,2,174.885971,-40.900557,New Zealand (n = 2)
Nigeria,2,8.675277,9.081999,Nigeria (n = 2)
Norway,5,8.468945999999999,60.47202399999999,Norway (n = 5)
Poland,2,19.145136,51.919438,Poland (n = 2)
Portugal,5,-8.224454,39.39987199999999,Portugal (n = 5)
Qatar,2,51.183884,25.354826,Qatar (n = 2)
Russia,3,105.318756,61.52401,Russia (n = 3)
Rwanda,1,29.873888,-1.940278,Rwanda (n = 1)
Saudi Arabia,3,45.079162,23.885942,Saudi Arabia (n = 3)
Serbia,1,21.005859,44.016521,Serbia (n = 1)
Singapore,5,103.819836,1.352083,Singapore (n = 5)
Slovakia,1,19.699024,48.669026,Slovakia (n = 1)
Slovenia,1,14.995463,46.151241,Slovenia (n = 1)
South Africa,26,22.937506,-30.559482,South Africa (n = 26)
South Korea,1,127.766922,35.907757,South Korea (n = 1)
Spain,7,-3.74922,40.46366700000001,Spain (n = 7)
Sri Lanka,3,80.77179699999999,7.873053999999999,Sri Lanka (n = 3)
Sudan,1,30.217636,12.862807,Sudan (n = 1)
Sweden,11,18.643501,60.12816100000001,Sweden (n = 11)
Switzerland,12,8.227511999999999,46.818188,Switzerland (n = 12)
Tanzania,6,34.888822,-6.369028,Tanzania (n = 6)
Thailand,1,100.992541,15.870032,Thailand (n = 1)
Uganda,2,32.290275,1.373333,Uganda (n = 2)
United Arab Emirates,10,53.847818,23.424076,United Arab Emirates (n = 10)
United Kingdom,149,-3.435973,55.378051,United Kingdom (n = 149)
United States,211,-95.712891,37.09024,United States (n = 211)
Uruguay,1,-55.765835,-32.522779,Uruguay (n = 1)
Vietnam,1,108.277199,14.058324,Vietnam (n = 1)
